game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
400787111,2015,1,Air Force,Mountain West,Morgan State,0.52,1.22,0.44,-0.17,-0.14,-0.19
400763404,2015,1,Akron,Mid-American,Oklahoma,-0.13,-0.24,-0.04,0.26,0.48,0.0
400603827,2015,1,Alabama,SEC,Wisconsin,0.46,0.42,0.51,0.04,0.2,-0.35
400787412,2015,1,App State,Sun Belt,Howard,0.43,0.79,0.26,-0.19,0.1,-0.44
400756882,2015,1,Arizona,Pac-12,UTSA,0.18,0.35,0.01,0.18,0.39,0.04
400603838,2015,1,Arizona State,Pac-12,Texas A&M,-0.05,-0.05,-0.02,0.14,0.18,0.14
400603828,2015,1,Arkansas,SEC,UTEP,0.59,1.36,0.22,0.1,0.48,-0.14
400756884,2015,1,Arkansas State,Sun Belt,USC,-0.08,-0.15,-0.03,0.34,0.37,0.3
400760491,2015,1,Army,FBS Independents,Fordham,0.35,0.3,0.42,0.25,0.67,0.01
400603829,2015,1,Auburn,SEC,Louisville,0.26,0.4,0.13,0.19,-0.02,0.37
400787299,2015,1,Ball State,Mid-American,VMI,0.24,0.21,0.33,0.36,0.73,-0.21
400764855,2015,1,Baylor,Big 12,SMU,0.69,0.75,0.63,0.1,0.1,0.1
400756888,2015,1,Boise State,Mountain West,Washington,-0.08,0.11,-0.03,-0.15,0.0,-0.37
400756897,2015,1,Boston College,ACC,Maine,0.14,0.42,-0.02,-0.2,-0.17,-0.3
400834350,2015,1,Bowling Green,Mid-American,Tennessee,0.29,0.39,0.15,0.37,0.42,0.37
400787303,2015,1,Buffalo,Mid-American,UAlbany,0.48,0.81,0.26,0.04,0.12,-0.03
400763495,2015,1,BYU,FBS Independents,Nebraska,0.21,0.2,0.24,0.26,0.49,-0.02
400756890,2015,1,California,Pac-12,Grambling,0.32,0.46,0.17,-0.3,-0.5,-0.09
400763399,2015,1,Central Michigan,Mid-American,Oklahoma State,0.12,0.18,0.04,0.27,0.48,0.1
400763587,2015,1,Charlotte,Conference USA,Georgia State,0.06,0.19,-0.02,0.0,0.23,-0.4
400764856,2015,1,Cincinnati,American Athletic,Alabama A&M,0.34,0.61,0.15,-0.09,-0.1,-0.07
400756898,2015,1,Clemson,ACC,Wofford,0.37,0.47,0.29,-0.08,0.15,-0.18
400787112,2015,1,Colorado State,Mountain West,Savannah St,0.34,0.6,0.08,-0.18,-0.06,-0.28
400756894,2015,1,Duke,ACC,Tulane,0.11,0.55,-0.23,-0.07,-0.01,-0.2
400764857,2015,1,East Carolina,American Athletic,Towson,0.32,0.14,0.54,0.16,0.19,0.17
