year,team,conference,fpi,resumeRanks,efficiencies
2015,Massachusetts,Mid-American,-12.699,"{'strengthOfRecord': 114, 'fpi': 106, 'averageWinProbability': 88, 'strengthOfSchedule': 102, 'remainingStrengthOfSchedule': None, 'gameControl': 102}","{'overall': 27.199, 'offense': 30.399, 'defense': 35.464, 'specialTeams': 38.246}"
2015,New Mexico State,Sun Belt,-18.282,"{'strengthOfRecord': 116, 'fpi': 122, 'averageWinProbability': 122, 'strengthOfSchedule': 107, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 18.689, 'offense': 29.834, 'defense': 18.421, 'specialTeams': 46.838}"
2015,Idaho,Sun Belt,-16.144,"{'strengthOfRecord': 106, 'fpi': 114, 'averageWinProbability': 95, 'strengthOfSchedule': 100, 'remainingStrengthOfSchedule': None, 'gameControl': 104}","{'overall': 22.591, 'offense': 41.651, 'defense': 16.446, 'specialTeams': 42.844}"
2015,Notre Dame,FBS Independents,19.138,"{'strengthOfRecord': 10, 'fpi': 50, 'averageWinProbability': 30, 'strengthOfSchedule': 16, 'remainingStrengthOfSchedule': None, 'gameControl': 14}","{'overall': 79.028, 'offense': 85.127, 'defense': 54.057, 'specialTeams': 68.547}"
2015,Georgia,SEC,15.885,"{'strengthOfRecord': 16, 'fpi': 19, 'averageWinProbability': 27, 'strengthOfSchedule': 44, 'remainingStrengthOfSchedule': None, 'gameControl': 19}","{'overall': 72.725, 'offense': 54.787, 'defense': 79.561, 'specialTeams': 54.553}"
2015,Florida,SEC,13.162,"{'strengthOfRecord': 14, 'fpi': 29, 'averageWinProbability': 40, 'strengthOfSchedule': 18, 'remainingStrengthOfSchedule': None, 'gameControl': 22}","{'overall': 66.568, 'offense': 46.525, 'defense': 77.421, 'specialTeams': 50.962}"
2015,Tennessee,SEC,20.53,"{'strengthOfRecord': 26, 'fpi': 9, 'averageWinProbability': 4, 'strengthOfSchedule': 32, 'remainingStrengthOfSchedule': None, 'gameControl': 4}","{'overall': 77.852, 'offense': 71.494, 'defense': 68.706, 'specialTeams': 70.908}"
2015,South Carolina,SEC,4.283,"{'strengthOfRecord': 81, 'fpi': 64, 'averageWinProbability': 113, 'strengthOfSchedule': 14, 'remainingStrengthOfSchedule': None, 'gameControl': 81}","{'overall': 45.719, 'offense': 52.69, 'defense': 40.794, 'specialTeams': 50.669}"
2015,Kentucky,SEC,2.117,"{'strengthOfRecord': 72, 'fpi': 69, 'averageWinProbability': 75, 'strengthOfSchedule': 51, 'remainingStrengthOfSchedule': None, 'gameControl': 65}","{'overall': 42.881, 'offense': 47.665, 'defense': 42.308, 'specialTeams': 45.559}"
2015,Vanderbilt,SEC,1.546,"{'strengthOfRecord': 69, 'fpi': 74, 'averageWinProbability': 101, 'strengthOfSchedule': 8, 'remainingStrengthOfSchedule': None, 'gameControl': 75}","{'overall': 49.141, 'offense': 27.342, 'defense': 78.316, 'specialTeams': 33.406}"
2015,Oklahoma State,Big 12,14.197,"{'strengthOfRecord': 12, 'fpi': 24, 'averageWinProbability': 60, 'strengthOfSchedule': 38, 'remainingStrengthOfSchedule': None, 'gameControl': 43}","{'overall': 69.672, 'offense': 70.066, 'defense': 61.138, 'specialTeams': 54.204}"
2015,Kansas State,Big 12,5.24,"{'strengthOfRecord': 59, 'fpi': 60, 'averageWinProbability': 82, 'strengthOfSchedule': 34, 'remainingStrengthOfSchedule': None, 'gameControl': 67}","{'overall': 53.322, 'offense': 52.05, 'defense': 44.457, 'specialTeams': 72.752}"
2015,Baylor,Big 12,21.846,"{'strengthOfRecord': 19, 'fpi': 6, 'averageWinProbability': 5, 'strengthOfSchedule': 60, 'remainingStrengthOfSchedule': None, 'gameControl': 7}","{'overall': 79.177, 'offense': 82.731, 'defense': 67.287, 'specialTeams': 35.294}"
2015,Iowa State,Big 12,0.639,"{'strengthOfRecord': 79, 'fpi': 79, 'averageWinProbability': 81, 'strengthOfSchedule': 4, 'remainingStrengthOfSchedule': None, 'gameControl': 51}","{'overall': 51.396, 'offense': 51.055, 'defense': 50.07, 'specialTeams': 53.473}"
2015,Texas Tech,Big 12,8.761,"{'strengthOfRecord': 38, 'fpi': 42, 'averageWinProbability': 50, 'strengthOfSchedule': 25, 'remainingStrengthOfSchedule': None, 'gameControl': 25}","{'overall': 62.813, 'offense': 84.21, 'defense': 26.331, 'specialTeams': 64.145}"
